
Actual data:
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10798
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10818
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10838
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10858
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10878
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10898
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10918
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10939
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10958
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10979
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10999
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11019
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11039
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11060
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11079
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11100
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11120
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11140
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11160
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11181
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11200
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11220
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11241
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11260
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11281
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11301
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11321
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11341
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11362
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11381
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11402
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11422
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11442
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11462
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11483
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11502
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11523
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11543
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11563
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11583
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11603
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11623
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11643
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11664
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11683
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11704
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11724
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11744
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11764
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11785
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11804
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11825
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11845
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11865
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11885
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11906
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11926
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11945
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11966
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	11986
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12006
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12026
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12047
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12066
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12087
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12107
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12127
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12147
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12168
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12187
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12208
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12228
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12248
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12268
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12289
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12308
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12328
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12349
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12368
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12389
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12409
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12429
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12449
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12470
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12489
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12510
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12530
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12550
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12570
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12591
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12610
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12631
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12651
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12670
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12691
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12711
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12731
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12751
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12772
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12791
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12812
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12832
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12852
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12872
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12893
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	12912
