serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95653
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95674
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95693
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95714
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95734
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95754
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95774
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95795
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95814
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95835
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95855
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95875
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95895
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95916
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95935
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95955
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95976
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95995
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96016
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96036
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96056
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96076
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96097
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96116
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96137
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96157
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96177
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96197
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96218
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96237
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96258
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96278
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96297
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96318
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96338
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96358
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96378
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96399
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96418
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96439
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96459
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96479
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96499
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96520
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96539
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96560
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96580
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96600
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96620
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96641
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96660
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96680
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96701
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96720
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96741
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96761
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96781
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96801
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96822
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96841
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96862
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96882
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96902
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96922
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96943
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96962
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	96983
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	97003
